NIC_PT,NUI_PT,NAME,time,state,county
52679,8602,"Anderson County, TN",2010,47,1
30357,8542,"Bedford County, TN",2010,47,3
10768,2333,"Benton County, TN",2010,47,5
7957,1846,"Bledsoe County, TN",2010,47,7
86269,15189,"Blount County, TN",2010,47,9
68534,13911,"Bradley County, TN",2010,47,11
27800,5493,"Campbell County, TN",2010,47,13
9434,2038,"Cannon County, TN",2010,47,15
18977,3656,"Carroll County, TN",2010,47,17
38093,8272,"Carter County, TN",2010,47,19
28995,5523,"Cheatham County, TN",2010,47,21
11261,2187,"Chester County, TN",2010,47,23
21844,4122,"Claiborne County, TN",2010,47,25
5069,1167,"Clay County, TN",2010,47,27
24125,5285,"Cocke County, TN",2010,47,29
36547,7384,"Coffee County, TN",2010,47,31
9720,2371,"Crockett County, TN",2010,47,33
33284,7963,"Cumberland County, TN",2010,47,35
431740,106801,"Davidson County, TN",2010,47,37
7568,1660,"Decatur County, TN",2010,47,39
12321,3234,"DeKalb County, TN",2010,47,41
36010,6621,"Dickson County, TN",2010,47,43
27595,4811,"Dyer County, TN",2010,47,45
27500,4736,"Fayette County, TN",2010,47,47
12107,2679,"Fentress County, TN",2010,47,49
27224,4990,"Franklin County, TN",2010,47,51
34587,6441,"Gibson County, TN",2010,47,53
20000,3960,"Giles County, TN",2010,47,55
15475,3502,"Grainger County, TN",2010,47,57
45837,9689,"Greene County, TN",2010,47,59
9276,1904,"Grundy County, TN",2010,47,61
41913,10214,"Hamblen County, TN",2010,47,63
233634,45813,"Hamilton County, TN",2010,47,65
4571,971,"Hancock County, TN",2010,47,67
16552,3200,"Hardeman County, TN",2010,47,69
17323,3763,"Hardin County, TN",2010,47,71
39812,7247,"Hawkins County, TN",2010,47,73
13179,2818,"Haywood County, TN",2010,47,75
19700,3730,"Henderson County, TN",2010,47,77
21324,4332,"Henry County, TN",2010,47,79
16392,3405,"Hickman County, TN",2010,47,81
5653,1217,"Houston County, TN",2010,47,83
12678,2445,"Humphreys County, TN",2010,47,85
7759,1720,"Jackson County, TN",2010,47,87
34374,7237,"Jefferson County, TN",2010,47,89
11024,2252,"Johnson County, TN",2010,47,91
311607,53027,"Knox County, TN",2010,47,93
3731,681,"Lake County, TN",2010,47,95
18064,3519,"Lauderdale County, TN",2010,47,97
28750,6176,"Lawrence County, TN",2010,47,99
8206,1888,"Lewis County, TN",2010,47,101
23403,4167,"Lincoln County, TN",2010,47,103
31499,6372,"Loudon County, TN",2010,47,105
35719,6979,"McMinn County, TN",2010,47,107
17792,3604,"McNairy County, TN",2010,47,109
15059,3883,"Macon County, TN",2010,47,111
68658,12945,"Madison County, TN",2010,47,113
19625,3963,"Marion County, TN",2010,47,115
21538,4836,"Marshall County, TN",2010,47,117
