County,Not_Insured,Sex,Year
Anderson,8602,Both Sexes,2010
Anderson,4708,Male Only,2010
Anderson,3895,Female Only,2010
Bedford,8542,Both Sexes,2010
Bedford,4644,Male Only,2010
Bedford,3898,Female Only,2010
Benton,2333,Both Sexes,2010
Benton,1279,Male Only,2010
Benton,1054,Female Only,2010
Bledsoe,1846,Both Sexes,2010
Bledsoe,1017,Male Only,2010
Bledsoe,828,Female Only,2010
Blount,15189,Both Sexes,2010
Blount,8307,Male Only,2010
Blount,6881,Female Only,2010
Bradley,13911,Both Sexes,2010
Bradley,7874,Male Only,2010
Bradley,6036,Female Only,2010
Campbell,5493,Both Sexes,2010
Campbell,2981,Male Only,2010
Campbell,2513,Female Only,2010
Cannon,2038,Both Sexes,2010
Cannon,1120,Male Only,2010
Cannon,918,Female Only,2010
Carroll,3656,Both Sexes,2010
Carroll,1961,Male Only,2010
Carroll,1694,Female Only,2010
Carter,8272,Both Sexes,2010
Carter,4445,Male Only,2010
Carter,3826,Female Only,2010
Cheatham,5523,Both Sexes,2010
Cheatham,3032,Male Only,2010
Cheatham,2491,Female Only,2010
Chester,2187,Both Sexes,2010
Chester,1232,Male Only,2010
Chester,955,Female Only,2010
Claiborne,4122,Both Sexes,2010
Claiborne,2220,Male Only,2010
Claiborne,1903,Female Only,2010
Clay,1167,Both Sexes,2010
Clay,631,Male Only,2010
Clay,536,Female Only,2010
Cocke,5285,Both Sexes,2010
Cocke,2886,Male Only,2010
Cocke,2400,Female Only,2010
Coffee,7384,Both Sexes,2010
Coffee,3941,Male Only,2010
Coffee,3443,Female Only,2010
Crockett,2371,Both Sexes,2010
Crockett,1299,Male Only,2010
Crockett,1072,Female Only,2010
Cumberland,7963,Both Sexes,2010
Cumberland,4114,Male Only,2010
Cumberland,3849,Female Only,2010
Davidson,106801,Both Sexes,2010
Davidson,61569,Male Only,2010
Davidson,45233,Female Only,2010
Decatur,1660,Both Sexes,2010
Decatur,914,Male Only,2010
Decatur,746,Female Only,2010
DeKalb,3234,Both Sexes,2010
DeKalb,1777,Male Only,2010
DeKalb,1458,Female Only,2010
Dickson,6621,Both Sexes,2010
Dickson,3626,Male Only,2010
Dickson,2995,Female Only,2010
Dyer,4811,Both Sexes,2010
Dyer,2580,Male Only,2010
Dyer,2231,Female Only,2010
Fayette,4736,Both Sexes,2010
Fayette,2633,Male Only,2010
Fayette,2103,Female Only,2010
Fentress,2679,Both Sexes,2010
Fentress,1455,Male Only,2010
Fentress,1224,Female Only,2010
Franklin,4990,Both Sexes,2010
Franklin,2810,Male Only,2010
Franklin,2179,Female Only,2010
Gibson,6441,Both Sexes,2010
Gibson,3406,Male Only,2010
Gibson,3035,Female Only,2010
Giles,3960,Both Sexes,2010
Giles,2166,Male Only,2010
Giles,1794,Female Only,2010
Grainger,3502,Both Sexes,2010
Grainger,1838,Male Only,2010
Grainger,1663,Female Only,2010
Greene,9689,Both Sexes,2010
Greene,5338,Male Only,2010
Greene,4351,Female Only,2010
Grundy,1904,Both Sexes,2010
Grundy,1027,Male Only,2010
Grundy,876,Female Only,2010
Hamblen,10214,Both Sexes,2010
Hamblen,5753,Male Only,2010
Hamblen,4460,Female Only,2010
Hamilton,45813,Both Sexes,2010
Hamilton,25439,Male Only,2010
Hamilton,20374,Female Only,2010
Hancock,971,Both Sexes,2010
Hancock,526,Male Only,2010
Hancock,445,Female Only,2010
Hardeman,3200,Both Sexes,2010
Hardeman,1687,Male Only,2010
Hardeman,1514,Female Only,2010
Hardin,3763,Both Sexes,2010
Hardin,2020,Male Only,2010
