,Year,County,Income Poverty Ratio Category,Not Insured
0,2010,Anderson,All Incomes,8602
1,2010,Anderson,<= 200% of Poverty,5403
2,2010,Anderson,<= 250% of Poverty,6344
3,2010,Anderson,<= 138% of Poverty,3881
4,2010,Anderson,<= 400% of Poverty,7789
5,2010,Bedford,All Incomes,8542
6,2010,Bedford,<= 200% of Poverty,5767
7,2010,Bedford,<= 250% of Poverty,6682
8,2010,Bedford,<= 138% of Poverty,4171
9,2010,Bedford,<= 400% of Poverty,7960
10,2010,Benton,All Incomes,2333
11,2010,Benton,<= 200% of Poverty,1545
12,2010,Benton,<= 250% of Poverty,1788
13,2010,Benton,<= 138% of Poverty,1117
14,2010,Benton,<= 400% of Poverty,2146
15,2010,Bledsoe,All Incomes,1846
16,2010,Bledsoe,<= 200% of Poverty,1252
17,2010,Bledsoe,<= 250% of Poverty,1440
18,2010,Bledsoe,<= 138% of Poverty,885
19,2010,Bledsoe,<= 400% of Poverty,1715
20,2010,Blount,All Incomes,15189
21,2010,Blount,<= 200% of Poverty,9458
22,2010,Blount,<= 250% of Poverty,11039
23,2010,Blount,<= 138% of Poverty,6561
24,2010,Blount,<= 400% of Poverty,13664
25,2010,Bradley,All Incomes,13911
26,2010,Bradley,<= 200% of Poverty,9217
27,2010,Bradley,<= 250% of Poverty,10576
28,2010,Bradley,<= 138% of Poverty,6494
29,2010,Bradley,<= 400% of Poverty,12761
30,2010,Campbell,All Incomes,5493
31,2010,Campbell,<= 200% of Poverty,3695
32,2010,Campbell,<= 250% of Poverty,4246
33,2010,Campbell,<= 138% of Poverty,2718
34,2010,Campbell,<= 400% of Poverty,5105
35,2010,Cannon,All Incomes,2038
36,2010,Cannon,<= 200% of Poverty,1309
37,2010,Cannon,<= 250% of Poverty,1550
38,2010,Cannon,<= 138% of Poverty,919
39,2010,Cannon,<= 400% of Poverty,1885
40,2010,Carroll,All Incomes,3656
41,2010,Carroll,<= 200% of Poverty,2429
42,2010,Carroll,<= 250% of Poverty,2812
43,2010,Carroll,<= 138% of Poverty,1802
44,2010,Carroll,<= 400% of Poverty,3389
45,2010,Carter,All Incomes,8272
46,2010,Carter,<= 200% of Poverty,5502
47,2010,Carter,<= 250% of Poverty,6375
48,2010,Carter,<= 138% of Poverty,4012
49,2010,Carter,<= 400% of Poverty,7691
50,2010,Cheatham,All Incomes,5523
51,2010,Cheatham,<= 200% of Poverty,3298
52,2010,Cheatham,<= 250% of Poverty,3943
53,2010,Cheatham,<= 138% of Poverty,2171
54,2010,Cheatham,<= 400% of Poverty,4891
55,2010,Chester,All Incomes,2187
56,2010,Chester,<= 200% of Poverty,1388
57,2010,Chester,<= 250% of Poverty,1652
58,2010,Chester,<= 138% of Poverty,994
59,2010,Chester,<= 400% of Poverty,2024
60,2010,Claiborne,All Incomes,4122
61,2010,Claiborne,<= 200% of Poverty,2765
62,2010,Claiborne,<= 250% of Poverty,3200
63,2010,Claiborne,<= 138% of Poverty,2021
64,2010,Claiborne,<= 400% of Poverty,3855
65,2010,Clay,All Incomes,1167
66,2010,Clay,<= 200% of Poverty,824
67,2010,Clay,<= 250% of Poverty,942
68,2010,Clay,<= 138% of Poverty,626
69,2010,Clay,<= 400% of Poverty,1103
70,2010,Cocke,All Incomes,5285
71,2010,Cocke,<= 200% of Poverty,3693
72,2010,Cocke,<= 250% of Poverty,4200
73,2010,Cocke,<= 138% of Poverty,2801
74,2010,Cocke,<= 400% of Poverty,4956
75,2010,Coffee,All Incomes,7384
76,2010,Coffee,<= 200% of Poverty,4835
77,2010,Coffee,<= 250% of Poverty,5577
78,2010,Coffee,<= 138% of Poverty,3561
79,2010,Coffee,<= 400% of Poverty,6779
80,2010,Crockett,All Incomes,2371
81,2010,Crockett,<= 200% of Poverty,1593
82,2010,Crockett,<= 250% of Poverty,1839
83,2010,Crockett,<= 138% of Poverty,1161
84,2010,Crockett,<= 400% of Poverty,2204
85,2010,Cumberland,All Incomes,7963
86,2010,Cumberland,<= 200% of Poverty,5320
87,2010,Cumberland,<= 250% of Poverty,6224
88,2010,Cumberland,<= 138% of Poverty,3809
89,2010,Cumberland,<= 400% of Poverty,7389
90,2010,Davidson,All Incomes,106801
91,2010,Davidson,<= 200% of Poverty,68604
92,2010,Davidson,<= 250% of Poverty,79377
93,2010,Davidson,<= 138% of Poverty,48497
94,2010,Davidson,<= 400% of Poverty,96448
95,2010,Decatur,All Incomes,1660
96,2010,Decatur,<= 200% of Poverty,1144
97,2010,Decatur,<= 250% of Poverty,1308
98,2010,Decatur,<= 138% of Poverty,841
99,2010,Decatur,<= 400% of Poverty,1539
100,2010,DeKalb,All Incomes,3234
101,2010,DeKalb,<= 200% of Poverty,2238
102,2010,DeKalb,<= 250% of Poverty,2580
103,2010,DeKalb,<= 138% of Poverty,1640
104,2010,DeKalb,<= 400% of Poverty,3042
105,2010,Dickson,All Incomes,6621
106,2010,Dickson,<= 200% of Poverty,4094
107,2010,Dickson,<= 250% of Poverty,4801
108,2010,Dickson,<= 138% of Poverty,2847
109,2010,Dickson,<= 400% of Poverty,5968
110,2010,Dyer,All Incomes,4811
111,2010,Dyer,<= 200% of Poverty,3161
112,2010,Dyer,<= 250% of Poverty,3700
113,2010,Dyer,<= 138% of Poverty,2352
114,2010,Dyer,<= 400% of Poverty,4444
115,2010,Fayette,All Incomes,4736
116,2010,Fayette,<= 200% of Poverty,2845
117,2010,Fayette,<= 250% of Poverty,3329
118,2010,Fayette,<= 138% of Poverty,1918
119,2010,Fayette,<= 400% of Poverty,4113
120,2010,Fentress,All Incomes,2679
121,2010,Fentress,<= 200% of Poverty,1910
122,2010,Fentress,<= 250% of Poverty,2165
123,2010,Fentress,<= 138% of Poverty,1431
124,2010,Fentress,<= 400% of Poverty,2525
125,2010,Franklin,All Incomes,4990
126,2010,Franklin,<= 200% of Poverty,3112
127,2010,Franklin,<= 250% of Poverty,3699
128,2010,Franklin,<= 138% of Poverty,2113
129,2010,Franklin,<= 400% of Poverty,4540
130,2010,Gibson,All Incomes,6441
131,2010,Gibson,<= 200% of Poverty,4124
132,2010,Gibson,<= 250% of Poverty,4815
133,2010,Gibson,<= 138% of Poverty,2916
134,2010,Gibson,<= 400% of Poverty,5894
135,2010,Giles,All Incomes,3960
136,2010,Giles,<= 200% of Poverty,2569
137,2010,Giles,<= 250% of Poverty,3000
138,2010,Giles,<= 138% of Poverty,1846
139,2010,Giles,<= 400% of Poverty,3621
140,2010,Grainger,All Incomes,3502
141,2010,Grainger,<= 200% of Poverty,2280
142,2010,Grainger,<= 250% of Poverty,2657
143,2010,Grainger,<= 138% of Poverty,1635
144,2010,Grainger,<= 400% of Poverty,3240
145,2010,Greene,All Incomes,9689
146,2010,Greene,<= 200% of Poverty,6504
147,2010,Greene,<= 250% of Poverty,7493
148,2010,Greene,<= 138% of Poverty,4735
149,2010,Greene,<= 400% of Poverty,9046
150,2010,Grundy,All Incomes,1904
151,2010,Grundy,<= 200% of Poverty,1375
152,2010,Grundy,<= 250% of Poverty,1549
153,2010,Grundy,<= 138% of Poverty,1039
154,2010,Grundy,<= 400% of Poverty,1797
155,2010,Hamblen,All Incomes,10214
156,2010,Hamblen,<= 200% of Poverty,6730
157,2010,Hamblen,<= 250% of Poverty,7926
158,2010,Hamblen,<= 138% of Poverty,4871
159,2010,Hamblen,<= 400% of Poverty,9491
160,2010,Hamilton,All Incomes,45813
161,2010,Hamilton,<= 200% of Poverty,27914
162,2010,Hamilton,<= 250% of Poverty,32826
163,2010,Hamilton,<= 138% of Poverty,19206
164,2010,Hamilton,<= 400% of Poverty,40743
165,2010,Hancock,All Incomes,971
166,2010,Hancock,<= 200% of Poverty,729
167,2010,Hancock,<= 250% of Poverty,818
168,2010,Hancock,<= 138% of Poverty,592
169,2010,Hancock,<= 400% of Poverty,933
170,2010,Hardeman,All Incomes,3200
171,2010,Hardeman,<= 200% of Poverty,2180
172,2010,Hardeman,<= 250% of Poverty,2525
173,2010,Hardeman,<= 138% of Poverty,1628
174,2010,Hardeman,<= 400% of Poverty,2998
175,2010,Hardin,All Incomes,3763
176,2010,Hardin,<= 200% of Poverty,2536
177,2010,Hardin,<= 250% of Poverty,2928
178,2010,Hardin,<= 138% of Poverty,1816
179,2010,Hardin,<= 400% of Poverty,3471
180,2010,Hawkins,All Incomes,7247
181,2010,Hawkins,<= 200% of Poverty,4801
182,2010,Hawkins,<= 250% of Poverty,5590
183,2010,Hawkins,<= 138% of Poverty,3509
184,2010,Hawkins,<= 400% of Poverty,6694
185,2010,Haywood,All Incomes,2818
186,2010,Haywood,<= 200% of Poverty,1979
187,2010,Haywood,<= 250% of Poverty,2264
188,2010,Haywood,<= 138% of Poverty,1468
189,2010,Haywood,<= 400% of Poverty,2641
190,2010,Henderson,All Incomes,3730
191,2010,Henderson,<= 200% of Poverty,2406
192,2010,Henderson,<= 250% of Poverty,2805
193,2010,Henderson,<= 138% of Poverty,1740
194,2010,Henderson,<= 400% of Poverty,3412
195,2010,Henry,All Incomes,4332
196,2010,Henry,<= 200% of Poverty,2793
197,2010,Henry,<= 250% of Poverty,3267
198,2010,Henry,<= 138% of Poverty,2018
199,2010,Henry,<= 400% of Poverty,3948
200,2010,Hickman,All Incomes,3405
201,2010,Hickman,<= 200% of Poverty,2262
202,2010,Hickman,<= 250% of Poverty,2603
203,2010,Hickman,<= 138% of Poverty,1572
204,2010,Hickman,<= 400% of Poverty,3132
205,2010,Houston,All Incomes,1217
206,2010,Houston,<= 200% of Poverty,856
207,2010,Houston,<= 250% of Poverty,980
208,2010,Houston,<= 138% of Poverty,620
209,2010,Houston,<= 400% of Poverty,1134
210,2010,Humphreys,All Incomes,2445
211,2010,Humphreys,<= 200% of Poverty,1625
212,2010,Humphreys,<= 250% of Poverty,1876
213,2010,Humphreys,<= 138% of Poverty,1140
214,2010,Humphreys,<= 400% of Poverty,2247
215,2010,Jackson,All Incomes,1720
216,2010,Jackson,<= 200% of Poverty,1207
217,2010,Jackson,<= 250% of Poverty,1379
218,2010,Jackson,<= 138% of Poverty,892
219,2010,Jackson,<= 400% of Poverty,1622
220,2010,Jefferson,All Incomes,7237
221,2010,Jefferson,<= 200% of Poverty,4815
222,2010,Jefferson,<= 250% of Poverty,5566
223,2010,Jefferson,<= 138% of Poverty,3443
224,2010,Jefferson,<= 400% of Poverty,6661
225,2010,Johnson,All Incomes,2252
226,2010,Johnson,<= 200% of Poverty,1546
227,2010,Johnson,<= 250% of Poverty,1765
228,2010,Johnson,<= 138% of Poverty,1165
229,2010,Johnson,<= 400% of Poverty,2106
230,2010,Knox,All Incomes,53027
231,2010,Knox,<= 200% of Poverty,32361
232,2010,Knox,<= 250% of Poverty,38032
233,2010,Knox,<= 138% of Poverty,22853
234,2010,Knox,<= 400% of Poverty,46816
235,2010,Lake,All Incomes,681
236,2010,Lake,<= 200% of Poverty,475
237,2010,Lake,<= 250% of Poverty,544
238,2010,Lake,<= 138% of Poverty,358
239,2010,Lake,<= 400% of Poverty,637
240,2010,Lauderdale,All Incomes,3519
241,2010,Lauderdale,<= 200% of Poverty,2444
242,2010,Lauderdale,<= 250% of Poverty,2811
243,2010,Lauderdale,<= 138% of Poverty,1829
244,2010,Lauderdale,<= 400% of Poverty,3290
245,2010,Lawrence,All Incomes,6176
246,2010,Lawrence,<= 200% of Poverty,4103
